Folder Name,Keyword
20231207_ClarityAttribute_STU5820,"2023, clarity attribute, stu, rus, rpr, monthly payment, stu5820"
20231213_7plus,"7 plus, 7, plus, 2023"
20240104_GINHOM_SSH,"ssh, ginhom"
20240105_Customer_Value,"customer value, customer, value"
20240110_Web_Conversion,"web lead, conversion, web lead conversion"
20240124_PCO_Simulation,"pco, simulation, pco simulation"
20240126_2024_PCO_events,"pco, store closure, divesture, summertime"
20240131_Phone,"phone, product turn, loss simulation, customer rental income, rental income, vintage performance"
20240205_RD_SmartGoal_2024,"rd, smart goal, meeting, goals, tracking,store market category, ebitda category, liyux"
20240207_Store_Visit_Support,"store visit support, store visit, vba"
20240207_YOY_Delivery,"delivery, yoy"
20240214_KFI_Ops_Support,"kfi, operation, ops, support, tracking, store, store list"
20240221_RTO_Web_Application,"web, application, web application, fpd 7, fpd"
20240222_Charge_Off_List,"post charge off, pco, agreement, text, list, charge off, chargeoff"
20240308_$25_Approval,"tier, de, decision engine, approval, clearance, web leads, $25, application, enterprise, inventory, psa"
20240314_CFI_Xtab_Outlier,"outlier, analysis, xtab, rto, tier"
20240326_RTO_Performance_byProduct_byDE,"performance, decision engine, de, matured agreements, product"
20240401_RTO_Web_FOC_Instore_Comparison,"origination, instore, in store, in-store, web, foc, channel, agreement, monthly origination, comparison"
20240409_DLQ_Goal,"goal, store, segment, web leads, web conversion, web loss, web, trade area, score"
20240410_Brian_PromoFT_agreement_report,"abuse, time, free time, freetime, agreement, free time abuse"
20240426_RTO_Decline_Override,"decline, override, decline override, decision engine, de, brv, beginning remaining value"
20240501_RTO_UW_FPD_Score,"fpd, uw, first payment default, under writer"
20240501_TV for Retention Engine,"retention engine, inventory, television, tv, analysis, work in progress, wip"
20240502_RTO_SSH_Customer_Performance,"ssh, customer, preference, customer preference"
20240509_DPD7_Features,"decision tree, 7, 7 dpd, features, prediction, machine learning"
20240514_50off_Promotion,"promotion, 50, off, 50 off, agreement, performance"
20240514_7plus_Forecast,"7, 30, dpd, 7 dpd, 30dpd, forecast, clear, rolling, delivery"
20240522_Auto_Extension,"retention, retention engine, retention model, take, past due, extension, dpd, 7, 7 day, score, mob, new, returning, offer, extension, cbd"
20240524_FreeTime_PCO,"free time, ft, event, customer, list, free day, promotion, remaining value, bank, pco"
20240528_RACPAD_Rollout_Tracking,"racpad, pilot, wave, rac, rfi, racfi, tracking"
20240528_Tier67_HighLoss,"loss, loss simulation, performance, loss performance, decision engine, de, income, loss, approved, verification, decline, bypass, new new customer, returning customer"
20240530_RTO_StoreTier7_Change,"tier 7, instore, web, first payment default, fpd"
20240604_FT_Cap_Tracking,"free time, free time cap, free time control, ebitda, bor, percent collected, deliveries, extension, return, 3-3-3-1"
20240616_Converts_30_60,"convert, agreement, application, effective convert, effective aggreement, 30, 60"
20240624_Special_Order_Performance,"special order, decision engine, de, web lead, effective agreements, conditional approved, ca"
